DATE,DEPTH,CHLORA
2010-08-10,1500,1.86
2010-08-10,2000,0.57
2010-08-10,2500,0.47
2010-09-21,100,1.76
2010-09-21,500,1.65
2010-09-21,1000,2.09
2010-09-21,1500,1.5
2010-09-21,2000,0.3
2010-09-21,2500,0.24
2010-10-13,100,1.63
2010-10-13,500,1.66
2010-10-13,1000,1.99
2010-10-13,1500,2.43
2010-10-13,2000,2.88
2010-10-13,2500,1.53
2010-11-16,100,2.92
2010-11-16,500,2.96
2010-11-16,1000,2.06
2010-11-16,1500,1.77
2010-11-16,2000,0.89
2010-11-16,2500,1.31
2010-12-03,0,
2011-01-19,0,
2011-02-18,100,8.71
2011-02-18,500,8.44
2011-02-18,1000,8.07
2011-02-18,1500,9.36
2011-02-18,2000,1.66
2011-02-18,2500,1.27
2011-03-08,100,23.12
2011-03-08,500,6.72
2011-03-08,1000,0.78
2011-03-08,1500,0.86
2011-03-08,2000,0.87
2011-03-08,2500,0.44
2011-04-19,100,2.57
2011-04-19,500,4.89
2011-04-19,1000,0.68
2011-04-19,1500,0.21
2011-04-19,2000,0.21
2011-04-19,2500,0.26
2011-05-13,100,1.49
2011-05-13,500,1.24
2011-05-13,1000,1.9
2011-05-13,1500,1.81
2011-05-13,2000,1.11
2011-05-13,2500,0.74
2011-06-21,100,1.39
2011-06-21,500,2.03
2011-06-21,1000,2.29
2011-06-21,1500,1.46
2011-06-21,2000,0.4
2011-06-21,2500,0.26
2011-07-25,100,
2011-07-25,500,
2011-07-25,1000,
2011-07-25,1500,
2011-07-25,2000,
2011-07-25,2500,
2011-08-01,100,2.4
2011-08-01,500,2.35
2011-08-01,1000,3.15
2011-08-01,1500,3.73
2011-08-01,2000,2.71
2011-08-01,2500,1.49
2011-08-01,900,
2011-08-01,2800,
2011-09-21,100,7.97
2011-09-21,500,7.05
2011-09-21,1000,3.0
2011-09-21,1500,1.68
2011-09-21,2000,1.09
2011-09-21,2500,0.91
2011-09-21,2750,
2011-10-13,0,
2011-10-18,0,
2011-10-21,0,
2011-11-08,100,2.41
2011-11-08,500,1.83
2011-11-08,1000,2.59
2011-11-08,1500,3.11
2011-11-08,2000,1.51
2011-11-08,2500,0.26
2011-11-08,2700,
2011-12-09,0,
2012-01-11,100,1.78
2012-01-11,500,2.07
2012-01-11,1000,1.8
2012-01-11,1500,0.99
2012-01-11,2000,0.52
2012-01-11,2500,0.56
2012-01-11,2700,
2012-02-13,0,
2012-03-13,100,10.13
2012-03-13,500,9.81
2012-03-13,1000,10.22
2012-03-13,1500,11.48
2012-03-13,2000,13.32
2012-03-13,2500,8.12
2012-04-10,100,2.17
2012-04-10,500,2.26
2012-04-10,1000,2.13
2012-04-10,1500,1.56
2012-04-10,2000,1.24
2012-04-10,2500,1.21
2012-05-14,100,
2012-05-14,500,
2012-05-14,1000,
2012-05-14,1500,
2012-05-14,2000,
2012-05-14,2500,
2012-06-26,100,
2012-06-26,500,
2012-06-26,1000,
2012-06-26,1500,
2012-06-26,2000,
2012-06-26,2500,
2012-07-16,100,
2012-07-16,500,
2012-07-16,1000,
2012-07-16,1500,
2012-07-16,2000,
2012-07-16,2500,
2012-08-07,100,
2012-08-07,500,
2012-08-07,1000,
2012-08-07,1500,
2012-08-07,2000,
2012-08-07,2500,
2012-09-27,100,
2012-09-27,500,
2012-09-27,1000,
2012-09-27,1500,
2012-09-27,2000,
2012-09-27,2500,
2012-10-02,100,
2012-10-02,500,
2012-10-02,1000,
2012-10-02,1500,
2012-10-02,2000,
2012-10-02,2500,
2012-11-06,100,
2012-11-06,500,
2012-11-06,1000,
2012-11-06,1500,
2012-11-06,2000,
2012-11-06,2500,
2012-12-04,100,
2012-12-04,500,
2012-12-04,1000,
2012-12-04,1500,
2012-12-04,2000,
2012-12-04,2500,
2013-01-01,0,
2013-02-06,100,
2013-02-06,500,
2013-02-06,1000,
2013-02-06,1500,
2013-02-06,2000,
2013-02-06,2500,
2013-03-05,100,
2013-03-05,500,
2013-03-05,1000,
2013-03-05,1500,
2013-03-05,2000,
2013-03-05,2500,
2013-04-03,100,
2013-04-03,500,
2013-04-03,1000,
2013-04-03,1500,
2013-04-03,2000,
2013-04-03,2500,
2013-05-24,100,
2013-05-24,500,
2013-05-24,1000,
2013-05-24,1500,
2013-05-24,2000,
2013-05-24,2500,
2013-06-04,100,
2013-06-04,500,
2013-06-04,1000,
2013-06-04,1500,
2013-06-04,2000,
2013-06-04,2500,
2013-07-04,100,
2013-07-04,500,
2013-07-04,1000,
2013-07-04,1500,
2013-07-04,2000,
2013-07-04,2500,
2013-08-28,100,
2013-08-28,500,
2013-08-28,1000,
2013-08-28,1500,
2013-08-28,2000,
2013-08-28,2500,
2013-09-24,100,
2013-09-24,500,
2013-09-24,1000,
2013-09-24,1500,
2013-09-24,2000,
2013-09-24,2500,
2013-10-01,100,
2013-10-01,500,
2013-10-01,1000,
2013-10-01,1500,
2013-10-01,2000,
2013-10-01,2500,
2013-11-05,100,
2013-11-05,500,
2013-11-05,1000,
2013-11-05,1500,
2013-11-05,2000,
2013-11-05,2500,
2013-12-03,100,
2013-12-03,500,
2013-12-03,1000,
2013-12-03,1500,
2013-12-03,2000,
2013-12-03,2500,
2014-02-25,100,
2014-02-25,500,
2014-02-25,1000,
2014-02-25,1500,
2014-02-25,2000,
2014-02-25,2500,
2014-03-05,100,
2014-03-05,500,
2014-03-05,1000,
2014-03-05,1500,
2014-03-05,2000,
2014-03-05,2500,
2014-04-15,100,
2014-04-15,500,
2014-04-15,1000,
2014-04-15,1500,
2014-04-15,2000,
2014-04-15,2500,
2014-05-07,100,
2014-05-07,500,
2014-05-07,1000,
2014-05-07,1500,
2014-05-07,2000,
2014-05-07,2500,
2014-06-21,100,
2014-06-21,500,
2014-06-21,1000,
2014-06-21,1500,
2014-06-21,2000,
2014-06-21,2500,
2014-07-08,100,
2014-07-08,500,
2014-07-08,1000,
2014-07-08,1500,
2014-07-08,2000,
2014-07-08,2500,
2014-08-28,100,
2014-08-28,500,
2014-08-28,1000,
2014-08-28,1500,
2014-08-28,2000,
2014-08-28,2500,
2014-09-23,100,
2014-09-23,500,
2014-09-23,1000,
2014-09-23,1500,
2014-09-23,2000,
2014-09-23,2500,
2014-10-21,100,
2014-10-21,500,
2014-10-21,1000,
2014-10-21,1500,
2014-10-21,2000,
2014-10-21,2500,
2014-11-18,100,
2014-11-18,500,
2014-11-18,1000,
2014-11-18,1500,
2014-11-18,2000,
2014-11-18,2500,
2014-12-16,100,
2014-12-16,500,
2014-12-16,1000,
2014-12-16,1500,
2014-12-16,2000,
2014-12-16,2500,
2015-01-06,100,
2015-01-06,500,
2015-01-06,1000,
2015-01-06,1500,
2015-01-06,2000,
2015-01-06,2500,
2015-02-23,100,
2015-02-23,500,
2015-02-23,1000,
2015-02-23,1500,
2015-02-23,2000,
2015-02-23,2500,
2015-03-17,100,
2015-03-17,500,
2015-03-17,1000,
2015-03-17,1500,
2015-03-17,2000,
2015-03-17,2500,
2015-04-21,100,
2015-04-21,500,
2015-04-21,1000,
2015-04-21,1500,
2015-04-21,2000,
2015-04-21,2500,
2015-05-12,100,
2015-05-12,500,
2015-05-12,1000,
2015-05-12,1500,
2015-05-12,2000,
2015-05-12,2500,
2015-06-04,100,
2015-06-04,500,
2015-06-04,1000,
2015-06-04,1500,
2015-06-04,2000,
2015-06-04,2500,
2015-06-21,100,
2015-06-21,500,
2015-06-21,1000,
2015-06-21,1500,
2015-06-21,2000,
2015-06-21,2500,
2015-07-14,100,
2015-07-14,500,
2015-07-14,1000,
2015-07-14,1500,
2015-07-14,2000,
2015-07-14,2500,
2015-08-04,100,
2015-08-04,500,
2015-08-04,1000,
2015-08-04,1500,
2015-08-04,2000,
2015-08-04,2500,
2015-09-10,100,
2015-09-10,500,
2015-09-10,1000,
2015-09-10,1500,
2015-09-10,2000,
2015-09-10,2500,
2015-10-15,0,
2015-11-05,100,
2015-11-05,500,
2015-11-05,1000,
2015-11-05,1500,
2015-11-05,2000,
2015-11-05,2500,
2015-12-08,100,
2015-12-08,500,
2015-12-08,1000,
2015-12-08,1500,
2015-12-08,2000,
2015-12-08,2500,
2016-01-05,0,
2016-02-09,0,
2016-03-08,100,
2016-03-08,2640,
2016-03-08,500,3.07
2016-03-08,1000,2.73
2016-03-08,1500,2.55
2016-03-08,2000,1.87
2016-03-08,2500,1.49
2016-04-12,100,
2016-04-12,500,
2016-04-12,1000,
2016-04-12,1500,
2016-04-12,2000,
2016-04-12,2500,
2016-05-03,100,
2016-05-03,500,
2016-05-03,1000,
2016-05-03,1500,
2016-05-03,2000,
2016-05-03,2500,
2016-06-01,100,
2016-06-01,500,
2016-06-01,1000,
2016-06-01,1500,
2016-06-01,2000,
2016-06-01,2500,
2016-06-21,0,
2016-07-05,100,
2016-07-05,500,
2016-07-05,1000,
2016-07-05,1500,
2016-07-05,2000,
2016-07-05,2500,
2016-08-03,100,
2016-08-03,500,
2016-08-03,1000,
2016-08-03,1500,
2016-08-03,2000,
2016-08-03,2500,
2016-09-21,100,
2016-09-21,500,
2016-09-21,1000,
2016-09-21,1500,
2016-09-21,2000,
2016-09-21,2500,
2016-10-19,100,
2016-10-19,500,
2016-10-19,1000,
2016-10-19,1500,
2016-10-19,2000,
2016-10-19,2500,
2016-11-08,100,
2016-11-08,500,
2016-11-08,1000,
2016-11-08,1500,
2016-11-08,2000,
2016-11-08,2500,
2016-12-06,100,
2016-12-06,500,
2016-12-06,1000,
2016-12-06,1500,
2016-12-06,2000,
2016-12-06,2500,
2017-01-10,100,
2017-01-10,500,
2017-01-10,1000,
2017-01-10,1500,
2017-01-10,2000,
2017-01-10,2500,
2017-02-21,0,
2017-03-13,100,
2017-03-13,500,
2017-03-13,1000,
2017-03-13,1500,
2017-03-13,2000,
2017-03-13,2500,
2017-04-10,100,
2017-04-10,500,
2017-04-10,1000,
2017-04-10,1500,
2017-04-10,2000,
2017-04-10,2500,
2017-05-03,0,
2017-06-21,100,
2017-06-21,500,
2017-06-21,1000,
2017-06-21,1500,
2017-06-21,2000,
2017-06-21,2500,
2017-07-17,100,
2017-07-17,500,
2017-07-17,1000,
2017-07-17,1500,
2017-07-17,2000,
2017-07-17,2500,
2017-08-01,100,
2017-08-01,500,
2017-08-01,1000,
2017-08-01,1500,
2017-08-01,2000,
2017-08-01,2500,
2017-09-12,100,
2017-09-12,500,
2017-09-12,1000,
2017-09-12,1500,
2017-09-12,2000,
2017-09-12,2500,
2017-10-24,100,
2017-10-24,2500,
2017-10-24,500,
2017-10-24,1000,
2017-10-24,1500,
2017-10-24,2000,
2017-11-09,100,
2017-11-09,2500,
2017-11-09,500,
2017-11-09,1000,
2017-11-09,1500,
2017-11-09,2000,
2017-12-19,100,
2017-12-19,500,
2017-12-19,1000,
2017-12-19,1500,
2017-12-19,2000,
2017-12-19,2500,
2018-01-10,100,
2018-01-10,500,
2018-01-10,1000,
2018-01-10,1500,
2018-01-10,2000,
2018-01-10,2500,
2018-02-20,100,
2018-02-20,500,
2018-02-20,1000,
2018-02-20,1500,
2018-02-20,2000,
2018-02-20,2500,
2018-03-26,100,
2018-03-26,500,
2018-03-26,1000,
2018-03-26,1500,
2018-03-26,2000,
2018-03-26,2500,
2018-04-18,100,
2018-04-18,500,
2018-04-18,1000,
2018-04-18,1500,
2018-04-18,2000,
2018-04-18,2500,
2018-05-08,100,
2018-05-08,500,
2018-05-08,1000,
2018-05-08,1500,
2018-05-08,2000,
2018-05-08,2500,
2018-06-21,100,
2018-06-21,500,
2018-06-21,1000,
2018-06-21,1500,
2018-06-21,2000,
2018-06-21,2500,
2018-07-12,0,
2018-08-01,100,
2018-08-01,2500,
2018-08-01,500,
2018-08-01,1000,
2018-08-01,1500,
2018-08-01,2000,
2018-09-20,100,
2018-09-20,500,
2018-09-20,1000,
2018-09-20,1500,
2018-09-20,2000,
2018-09-20,2500,
2018-09-20,1450,
2018-10-18,100,
2018-10-18,500,
2018-10-18,1000,
2018-10-18,1500,
2018-10-18,2000,
2018-10-18,2500,
2018-11-13,100,
2018-11-13,500,
2018-11-13,1000,
2018-11-13,1500,
2018-11-13,2000,
2018-11-13,2500,
2018-12-12,100,
2018-12-12,500,
2018-12-12,1000,
2018-12-12,1500,
2018-12-12,2000,
2018-12-12,2500,
2019-01-08,0,
2019-02-26,100,
2019-02-26,500,
2019-02-26,1000,
2019-02-26,1500,
2019-02-26,2000,
2019-02-26,2500,
2019-03-20,100,
2019-03-20,500,
2019-03-20,1000,
2019-03-20,1500,
2019-03-20,2000,
2019-03-20,2500,
2019-04-24,100,
2019-04-24,500,
2019-04-24,1000,
2019-04-24,1500,
2019-04-24,2000,
2019-04-24,2500,
2019-05-28,100,
2019-05-28,500,
2019-05-28,1000,
2019-05-28,1500,
2019-05-28,2000,
2019-05-28,2500,
2019-06-26,100,
2019-06-26,500,
2019-06-26,1000,
2019-06-26,1500,
2019-06-26,2000,
2019-06-26,2500,
2019-07-31,100,
2019-07-31,500,
2019-07-31,1000,
2019-07-31,1500,
2019-07-31,2000,
2019-07-31,2500,
2019-08-27,100,
2019-08-27,500,
2019-08-27,1000,
2019-08-27,1500,
2019-08-27,2000,
2019-08-27,2500,
1999-01-26,100,1.82
1999-01-26,500,1.79
1999-01-26,1000,1.49
1999-01-26,1500,1.4
1999-01-26,2000,1.09
1999-01-26,2500,0.75
1999-02-12,100,2.56
1999-02-12,500,2.46
1999-02-12,1000,3.17
1999-02-12,1500,2.76
1999-02-12,2000,2.36
1999-02-12,2500,1.99
1999-03-25,100,4.91
1999-03-25,500,6.06
1999-03-25,1000,6.87
1999-03-25,1500,6.13
1999-03-25,2000,4.98
1999-03-25,2500,8.57
1999-04-27,100,0.95
1999-04-27,500,0.96
1999-04-27,1000,0.95
1999-04-27,1500,0.93
1999-04-27,2000,0.28
1999-04-27,2500,0.41
1999-05-25,100,1.59
1999-05-25,500,1.56
1999-05-25,1000,2.0
1999-05-25,1500,1.62
1999-05-25,2000,0.95
1999-05-25,2500,0.41
1999-06-17,100,1.11
1999-06-17,500,1.15
1999-06-17,1000,1.52
1999-06-17,1500,2.27
1999-06-17,2000,1.68
1999-06-17,2500,0.45
1999-07-15,100,1.39
1999-07-15,500,1.42
1999-07-15,1000,2.04
1999-07-15,1500,1.88
1999-07-15,2000,3.46
1999-07-15,2500,2.5
1999-08-17,100,1.95
1999-08-17,500,2.92
1999-08-17,1000,2.81
1999-08-17,1500,1.87
1999-08-17,2000,1.06
1999-08-17,2500,0.24
1999-09-17,100,2.51
1999-09-17,500,2.39
1999-09-17,1000,3.51
1999-09-17,1500,2.75
1999-09-17,2000,3.01
1999-09-17,2500,0.64
1999-10-18,100,2.51
1999-10-18,500,2.74
1999-10-18,1000,3.17
1999-10-18,1500,1.43
1999-10-18,2000,1.16
1999-10-18,2500,0.52
1999-11-16,100,3.75
1999-11-16,500,2.91
1999-11-16,1000,3.1
1999-11-16,1500,1.86
1999-11-16,2000,1.41
1999-11-16,2500,2.3
1999-12-15,100,0.16
1999-12-15,500,0.31
1999-12-15,1000,0.26
1999-12-15,1500,0.36
1999-12-15,2000,0.25
1999-12-15,2500,0.21
2000-01-18,100,0.46
2000-01-18,500,0.47
2000-01-18,1000,0.32
2000-01-18,1500,0.44
2000-01-18,2000,0.28
2000-01-18,2500,0.25
2000-02-08,100,0.66
2000-02-08,500,0.19
2000-02-08,1000,0.65
2000-02-08,1500,0.42
2000-02-08,2000,0.54
2000-02-08,2500,0.64
2000-03-15,100,1.39
2000-03-15,500,1.78
2000-03-15,1000,1.52
2000-03-15,1500,1.6
2000-03-15,2000,2.53
2000-03-15,2500,2.38
2000-04-17,100,1.01
2000-04-17,500,1.2
2000-04-17,1000,0.9
2000-04-17,1500,0.46
2000-04-17,2000,0.4
2000-04-17,2500,0.5
2000-05-17,100,0.22
2000-05-17,500,0.4
2000-05-17,1000,0.87
2000-05-17,1500,1.25
2000-05-17,2000,0.77
2000-05-17,2500,0.33
2000-06-28,100,0.93
2000-06-28,500,1.29
2000-06-28,1000,1.55
2000-06-28,1500,1.21
2000-06-28,2000,0.67
2000-06-28,2500,0.63
2000-07-12,100,3.3
2000-07-12,500,2.31
2000-07-12,1000,1.87
2000-07-12,1500,0.95
2000-07-12,2000,0.17
2000-07-12,2500,0.14
2000-08-08,100,0.83
2000-08-08,500,1.1
2000-08-08,1000,1.17
2000-08-08,1500,2.28
2000-08-08,2000,0.71
2000-08-08,2500,0.21
2000-09-27,100,0.87
2000-09-27,500,0.61
2000-09-27,1000,1.92
2000-09-27,1500,1.49
2000-09-27,2000,0.53
2000-09-27,2500,0.19
2000-10-24,100,0.09
2000-10-24,500,0.14
2000-10-24,1000,0.1
2000-10-24,1500,0.19
2000-10-24,2000,0.02
2000-10-24,2500,0.0
2000-11-28,100,3.03
2000-11-28,500,2.33
2000-11-28,1000,2.79
2000-11-28,1500,3.73
2000-11-28,2000,2.4
2000-11-28,2500,5.32
2000-12-18,100,2.92
2000-12-18,500,4.5
2000-12-18,1000,2.6
2000-12-18,1500,2.32
2000-12-18,2000,1.34
2000-12-18,2500,2.41
2001-01-16,100,0.91
2001-01-16,500,1.23
2001-01-16,1000,1.48
2001-01-16,1500,2.59
2001-01-16,2000,1.04
2001-01-16,2500,0.46
2001-02-15,100,0.94
2001-02-15,500,0.48
2001-02-15,1000,1.13
2001-02-15,1500,1.08
2001-02-15,2000,1.47
2001-02-15,2500,1.32
2001-03-13,100,1.85
2001-03-13,500,2.51
2001-03-13,1000,1.77
2001-03-13,1500,6.27
2001-03-13,2000,1.42
2001-03-13,2500,1.76
2001-04-18,100,2.08
2001-04-18,500,2.83
2001-04-18,1000,2.49
2001-04-18,1500,2.1
2001-04-18,2000,2.05
2001-04-18,2500,2.22
2001-05-31,100,0.93
2001-05-31,500,0.73
2001-05-31,1000,2.03
2001-05-31,1500,0.64
2001-05-31,2000,0.06
2001-05-31,2500,0.1
2001-06-28,100,1.27
2001-06-28,500,1.57
2001-06-28,1000,3.37
2001-06-28,1500,1.32
2001-06-28,2000,0.23
2001-06-28,2500,0.33
2001-07-11,100,1.13
2001-07-11,500,1.23
2001-07-11,1000,0.32
2001-07-11,1500,0.64
2001-07-11,2000,0.05
2001-07-11,2500,0.85
2001-08-09,100,0.48
2001-08-09,500,0.39
2001-08-09,1000,1.23
2001-08-09,1500,0.62
2001-08-09,2000,0.38
2001-08-09,2500,0.0
2001-09-10,100,3.17
2001-09-10,500,1.98
2001-09-10,1000,1.65
2001-09-10,1500,0.92
2001-09-10,2000,0.82
2001-09-10,2500,0.27
2001-10-16,100,0.33
2001-10-16,500,2.74
2001-10-16,1000,1.56
2001-10-16,1500,2.61
2001-10-16,2000,3.03
2001-10-16,2500,0.35
2001-11-06,100,2.59
2001-11-06,500,2.43
2001-11-06,1000,2.79
2001-11-06,1500,2.88
2001-11-06,2000,0.88
2001-11-06,2500,0.22
2001-12-13,100,0.83
2001-12-13,500,0.33
2001-12-13,1000,1.76
2001-12-13,1500,2.22
2001-12-13,2000,0.77
2001-12-13,2500,0.61
2002-01-08,100,0.97
2002-01-08,500,0.91
2002-01-08,1000,0.75
2002-01-08,1500,0.63
2002-01-08,2000,1.26
2002-01-08,2500,0.3
2002-02-21,100,1.63
2002-02-21,500,2.18
2002-02-21,1000,1.48
2002-02-21,1500,1.28
2002-02-21,2000,1.81
2002-02-21,2500,0.32
2002-03-11,100,0.9
2002-03-11,500,0.84
2002-03-11,1000,1.55
2002-03-11,1500,0.95
2002-03-11,2000,1.1
2002-03-11,2500,1.1
2002-04-10,100,1.25
2002-04-10,500,1.08
2002-04-10,1000,0.3
2002-04-10,1500,0.82
2002-04-10,2000,4.43
2002-04-10,2500,11.94
2002-05-21,100,1.84
2002-05-21,500,1.76
2002-05-21,1000,1.38
2002-05-21,1500,0.22
2002-05-21,2000,0.11
2002-05-21,2500,0.2
2002-06-18,100,0.71
2002-06-18,500,0.53
2002-06-18,1000,1.69
2002-06-18,1500,0.85
2002-06-18,2000,0.28
2002-06-18,2500,0.18
2002-07-09,100,0.49
2002-07-09,500,1.61
2002-07-09,1000,1.5
2002-07-09,1500,1.42
2002-07-09,2000,1.91
2002-07-09,2500,0.26
2002-08-20,100,1.5
2002-08-20,500,1.55
2002-08-20,1000,0.95
2002-08-20,1500,1.85
2002-08-20,2000,1.51
2002-08-20,2500,0.49
2002-09-17,100,1.3
2002-09-17,500,1.3
2002-09-17,1000,0.49
2002-09-17,1500,1.24
2002-09-17,2000,0.91
2002-09-17,2500,0.4
2002-10-15,100,3.2
2002-10-15,500,3.34
2002-10-15,1000,1.59
2002-10-15,1500,0.74
2002-10-15,2000,0.34
2002-10-15,2500,0.23
2002-11-19,100,3.76
2002-11-19,500,3.57
2002-11-19,1000,3.87
2002-11-19,1500,2.84
2002-11-19,2000,0.43
2002-11-19,2500,0.39
2002-12-17,100,0.88
2002-12-17,500,0.9
2002-12-17,1000,1.13
2002-12-17,1500,1.25
2002-12-17,2000,1.0
2002-12-17,2500,1.22
2003-01-23,100,0.24
2003-01-23,500,0.15
2003-01-23,1000,1.43
2003-01-23,1500,0.54
2003-01-23,2000,0.17
2003-01-23,2500,0.06
2003-02-18,100,4.6
2003-02-18,500,5.9
2003-02-18,1000,6.58
2003-02-18,1500,2.39
2003-02-18,2000,0.7
2003-02-18,2500,5.76
2003-03-11,100,0.39
2003-03-11,500,0.5
2003-03-11,1000,0.57
2003-03-11,1500,0.58
2003-03-11,2000,0.94
2003-03-11,2500,0.45
2003-04-24,100,0.25
2003-04-24,500,0.22
2003-04-24,1000,0.39
2003-04-24,1500,0.37
2003-04-24,2000,0.24
2003-04-24,2500,0.12
2003-05-13,100,0.44
2003-05-13,500,0.26
2003-05-13,1000,0.34
2003-05-13,1500,0.22
2003-05-13,2000,0.05
2003-05-13,2500,0.0
2003-06-17,100,0.4
2003-06-17,500,0.24
2003-06-17,1000,1.52
2003-06-17,1500,0.87
2003-06-17,2000,0.37
2003-06-17,2500,0.1
2003-07-15,100,0.81
2003-07-15,500,0.66
2003-07-15,1000,1.38
2003-07-15,1500,0.78
2003-07-15,2000,0.23
2003-07-15,2500,0.16
2003-08-13,100,0.49
2003-08-13,500,0.57
2003-08-13,1000,0.49
2003-08-13,1500,0.41
2003-08-13,2000,0.28
2003-08-13,2500,0.07
2003-09-08,100,0.48
2003-09-08,500,0.89
2003-09-08,1000,0.57
2003-09-08,1500,0.71
2003-09-08,2000,0.38
2003-09-08,2500,0.22
2003-10-14,100,1.57
2003-10-14,500,0.5
2003-10-14,1000,0.97
2003-10-14,1500,0.84
2003-10-14,2000,0.04
2003-10-14,2500,0.1
2003-11-12,100,1.79
2003-11-12,500,2.07
2003-11-12,1000,2.95
2003-11-12,1500,1.46
2003-11-12,2000,0.21
2003-11-12,2500,0.29
2003-12-04,100,2.71
2003-12-04,500,1.55
2003-12-04,1000,0.53
2003-12-04,1500,3.18
2003-12-04,2000,0.23
2003-12-04,2500,0.16
2004-01-20,100,7.39
2004-01-20,500,2.47
2004-01-20,1000,3.25
2004-01-20,1500,2.39
2004-01-20,2000,2.96
2004-01-20,2500,1.76
2004-02-18,100,7.32
2004-02-18,500,9.7
2004-02-18,1000,6.65
2004-02-18,1500,8.56
2004-02-18,2000,2.68
2004-02-18,2500,1.87
2004-03-16,100,3.29
2004-03-16,500,3.16
2004-03-16,1000,3.32
2004-03-16,1500,3.15
2004-03-16,2000,4.5
2004-03-16,2500,4.29
2004-04-15,100,0.61
2004-04-15,500,0.94
2004-04-15,1000,0.8
2004-04-15,1500,3.41
2004-04-15,2000,2.81
2004-04-15,2500,1.3
2004-05-11,100,1.22
2004-05-11,500,1.29
2004-05-11,1000,2.5
2004-05-11,1500,5.88
2004-05-11,2000,0.83
2004-05-11,2500,5.99
2004-06-21,100,2.16
2004-06-21,500,1.44
2004-06-21,1000,2.41
2004-06-21,1500,0.54
2004-06-21,2000,0.16
2004-06-21,2500,0.13
2004-07-13,100,0.84
2004-07-13,500,0.88
2004-07-13,1000,1.3
2004-07-13,1500,8.57
2004-07-13,2000,0.86
2004-07-13,2500,0.61
2004-08-10,100,1.48
2004-08-10,500,1.38
2004-08-10,1000,1.12
2004-08-10,1500,2.49
2004-08-10,2000,1.34
2004-08-10,2500,5.57
2004-09-13,100,1.93
2004-09-13,500,2.53
2004-09-13,1000,1.51
2004-09-13,1500,1.62
2004-09-13,2000,0.82
2004-09-13,2500,1.39
2004-10-13,100,2.03
2004-10-13,500,2.16
2004-10-13,1000,1.18
2004-10-13,1500,0.59
2004-10-13,2000,0.45
2004-10-13,2500,0.44
2004-11-09,100,3.34
2004-11-09,500,4.87
2004-11-09,1000,5.04
2004-11-09,1500,3.34
2004-11-09,2000,2.44
2004-11-09,2500,1.98
2004-12-15,100,2.55
2004-12-15,500,4.17
2004-12-15,1000,3.98
2004-12-15,1500,4.0
2004-12-15,2000,4.26
2004-12-15,2500,2.3
2005-01-18,100,1.03
2005-01-18,500,0.44
